order_id,worker_id,estimated_profit
46124,3026,12.52406
46124,3036,11.2735
46124,3114,11.9482
46124,3121,11.59872
46124,3124,9.29267
46124,3363,13.15067
46124,3364,11.58337
46124,3562,11.59914
46124,3970,12.5818
46124,3986,12.30906
46124,4044,6.92546
46124,4244,11.83118
46124,1048,11.14567
42551,58,12.70429
42551,110,12.73006
42551,149,13.8383
42551,411,13.00225
42551,475,14.11539
42551,770,13.99036
42551,772,13.52651
42551,813,13.44298
42551,935,13.77017
42551,976,10.25233
42551,1057,10.02505
42551,1072,13.93555
42551,1096,12.70849
42551,1121,14.11722
42551,1279,14.15769
42551,1339,14.16739
42551,1493,10.50867
42551,1511,14.01103
42551,1534,9.13815
42551,1751,12.77925
42551,1886,12.63901
42551,2129,11.95192
42551,2253,14.1748
42551,2318,14.14102
42551,2353,13.65718
42551,2679,12.66604
42551,2971,12.68777
42551,3026,13.40378
42551,3036,12.15194
42551,3114,12.99679
42551,3121,12.62462
42551,3124,10.23842
42551,3363,14.18022
42551,3364,12.63123
42551,3562,12.62716
42551,3970,13.45887
42551,3986,13.38788
42551,4044,7.85483
42551,4244,12.84644
42551,1048,12.029
52331,58,6.74414
52331,110,6.76991
52331,149,7.87815
52331,411,7.0421
52331,475,8.15525
52331,770,8.03021
52331,772,7.56636
52331,813,7.48284
52331,935,7.81002
52331,976,4.29219
52331,1057,4.0649
52331,1072,7.9754
52331,1096,6.74834
52331,1121,8.15707
52331,1279,8.19754
52331,1339,8.20724
52331,1493,4.54853
52331,1511,8.05088
52331,1534,3.178
52331,1751,6.8191
52331,1886,6.67886
52331,2129,5.99177
52331,2253,8.21466
52331,2318,8.18087
52331,2353,7.69704
52331,2679,6.7059
52331,2971,6.72762
52331,3026,7.44363
52331,3036,6.19179
52331,3114,7.03664
52331,3121,6.66448
52331,3124,4.27827
52331,3363,8.22007
52331,3364,6.67108
52331,3562,6.66701
52331,3970,7.49873
52331,3986,7.42773
52331,4044,1.89468
52331,4244,6.88629
52331,1048,6.06885
10635,58,10.45137
10635,110,10.47689
10635,149,11.53063
10635,411,10.73089
10635,475,11.80982
10635,770,11.68343
10635,772,11.21886
10635,813,11.13532
10635,935,11.47846
10635,976,8.02374
10635,1057,7.85504
10635,1072,11.62858
10635,1096,10.40449
10635,1121,11.81058
10635,1279,11.92889
10635,1339,11.8955
10635,1493,8.26322
10635,1511,11.70363
10635,1534,6.89115
10635,1751,10.5162
10635,1886,10.38811
10635,2129,9.69225
10635,2253,11.89503
10635,2318,11.83474
10635,2353,11.34948
10635,2679,10.4133
10635,2971,10.43445
10635,3026,11.25947
10635,3036,10.00784
10635,3114,10.72579
10635,3121,10.37428
10635,3124,8.05246
10635,3363,11.92623
10635,3364,10.3609
